"status","group","dsl_identifier","label","source_endpoint","source_column","report_period_selection","proposed_field_id","note"
"拟新增","每股指标","retainedps","每股留存收益","fina_indicator","retainedps","","","保留留存收益口径，不与每股未分配利润合并。"
"拟新增","每股指标","cfps","每股现金净流量","fina_indicator","cfps","","","源说明未限定经营活动；不同于 ocfps。"
"拟新增","每股指标","ebit_ps","每股息税前利润","fina_indicator","ebit_ps","","",""
"拟新增","每股指标","fcff_ps","每股企业自由现金流","fina_indicator","fcff_ps","","",""
"拟新增","每股指标","fcfe_ps","每股股东自由现金流","fina_indicator","fcfe_ps","","",""
"拟新增","利润与现金流基础值","extra_item","非经常损益额","fina_indicator","extra_item","","",""
"拟新增","利润与现金流基础值","profit_dedt","扣非净利润","fina_indicator","profit_dedt","","","官方简述未明确归母范围；不直接命名为归母扣非利润。"
"拟新增","利润与现金流基础值","gross_profit","毛利额","fina_indicator","gross_margin","","","源说明为毛利，不是毛利率；金额单位未由本次探针核验。"
"拟新增","利润与现金流基础值","op_income","经营活动净收益","fina_indicator","op_income","","","与营业利润、经营现金净流量是不同源概念。"
"拟新增","利润与现金流基础值","valuechange_income","价值变动净收益","fina_indicator","valuechange_income","","",""
"拟新增","利润与现金流基础值","interest_expense","利息费用","fina_indicator","interst_income","","","保留供应商列名拼写；官方含义是费用，不能按 income 后缀解释为利息收入。"
"拟新增","利润与现金流基础值","daa","折旧与摊销","fina_indicator","daa","","",""
"拟新增","利润与现金流基础值","ebit","息税前利润","fina_indicator","ebit","","",""
"拟新增","利润与现金流基础值","ebitda","息税折旧摊销前利润","fina_indicator","ebitda","","",""
"拟新增","利润与现金流基础值","fcff","企业自由现金流","fina_indicator","fcff","","","供应商 FCFF 口径，不等同于未经调整的经营现金流减资本支出。"
"拟新增","利润与现金流基础值","fcfe","股权自由现金流","fina_indicator","fcfe","","","供应商 FCFE 口径，不与 FCFF 或经营现金流减资本支出合并。"
"拟新增","利润与现金流基础值","profit_prefin_exp","扣财务费用前营业利润","fina_indicator","profit_prefin_exp","","",""
"拟新增","利润与现金流基础值","non_op_profit","非营业利润","fina_indicator","non_op_profit","","","不按列名自行替换为单独的营业外收入。"
"拟新增","利润与现金流基础值","rd_exp","研发投入总额","fina_indicator","rd_exp","","","本接口说明为研发投入合计；不自动等同于 income.rd_exp 的研发费用。"
"拟新增","资产与资本基础值","current_exint","无息流动负债","fina_indicator","current_exint","","",""
"拟新增","资产与资本基础值","noncurrent_exint","无息非流动负债","fina_indicator","noncurrent_exint","","",""
"拟新增","资产与资本基础值","interestdebt","有息债务额","fina_indicator","interestdebt","","",""
"拟新增","资产与资本基础值","netdebt","净债务额","fina_indicator","netdebt","","",""
"拟新增","资产与资本基础值","tangible_asset","有形净资产（供应商口径）","fina_indicator","tangible_asset","","",""
"拟新增","资产与资本基础值","working_capital","营运资金额","fina_indicator","working_capital","","",""
"拟新增","资产与资本基础值","networking_capital","营运流动资本","fina_indicator","networking_capital","","","供应商与 working_capital 分列；未展开公式，不能擅自合并或改写计算口径。"
"拟新增","资产与资本基础值","invest_capital","全部投入资本","fina_indicator","invest_capital","","",""
"拟新增","资产与资本基础值","retained_earnings","留存收益额","fina_indicator","retained_earnings","","",""
"拟新增","资产与资本基础值","fixed_assets","固定资产合计","fina_indicator","fixed_assets","","",""
"拟新增","营运效率","invturn_days","存货周转天数","fina_indicator","invturn_days","","",""
"拟新增","营运效率","arturn_days","应收账款周转天数","fina_indicator","arturn_days","","",""
"拟新增","营运效率","inv_turn","存货周转率","fina_indicator","inv_turn","","",""
"拟新增","营运效率","ar_turn","应收账款周转率","fina_indicator","ar_turn","","",""
"拟新增","营运效率","ca_turn","流动资产周转率","fina_indicator","ca_turn","","",""
"拟新增","营运效率","fa_turn","固定资产周转率","fina_indicator","fa_turn","","","与 total_fa_trun 的固定资产合计周转率保持不同源身份。"
"拟新增","营运效率","assets_turn","总资产周转率","fina_indicator","assets_turn","","",""
"拟新增","营运效率","turn_days","营业周转周期","fina_indicator","turn_days","","","官方定义为营业周期，不自动解释为已扣除应付账款周期的现金转换周期。"
"拟新增","营运效率","total_fa_trun","固定资产合计周转率","fina_indicator","total_fa_trun","","","保留供应商 trun 拼写；不静默并入 fa_turn。"
"拟新增","盈利能力","net_profit_margin","销售净利率","fina_indicator","netprofit_margin","","",""
"拟新增","盈利能力","gross_profit_margin","销售毛利率","fina_indicator","grossprofit_margin","","","这是比率字段；gross_margin 是毛利额。"
"拟新增","盈利能力","roe","净资产收益率","fina_indicator","roe","","","供应商报告期口径；官方未标 TTM、年化或加权平均，不能自行赋予这些含义。"
"拟新增","盈利能力","roe_waa","加权平均净资产收益率","fina_indicator","roe_waa","","","不以简单期初期末权益平均的自算比率替代。"
"拟新增","盈利能力","roe_dt","扣非净资产收益率","fina_indicator","roe_dt","","","源说明为扣除非经常损益的回报率，未标 TTM。"
"拟新增","盈利能力","roa","总资产报酬率","fina_indicator","roa","","","与总资产净利率、年化总资产收益率分列，不擅自合并。"
"拟新增","盈利能力","npta","总资产净利润指标","fina_indicator","npta","","","官方简述为总资产净利润，未展开公式；不据缩写自动等同于 ROA。"
"拟新增","盈利能力","roic","投入资本回报率","fina_indicator","roic","","","供应商口径，未标 TTM；投入资本和利润构造不由本清单推定。"
"拟新增","盈利能力","roe_yearly","年化净资产收益率","fina_indicator","roe_yearly","","","年化不等于 TTM，保留供应商年化方式。"
"拟新增","盈利能力","roa2_yearly","年化总资产收益率","fina_indicator","roa2_yearly","","","与 roa_yearly 的年化总资产净利率不同。"
"拟新增","盈利能力","roe_avg","增发条件平均净资产收益率","fina_indicator","roe_avg","","","官方说明带有增发条件限定；不是普通两点平均权益 ROE 的别名。"
"拟新增","盈利能力","roa_yearly","年化总资产净利率","fina_indicator","roa_yearly","","","与 roa2_yearly 的年化总资产收益率不同，不能按相近列名合并。"
"拟新增","盈利能力","roa_dp","杜邦总资产净利率","fina_indicator","roa_dp","","",""
"拟新增","盈利能力","roic_yearly","年化投入资本回报率","fina_indicator","roic_yearly","","","年化不等于 TTM，也不与 roic 自动互换。"
"拟新增","收入与利润结构","cogs_of_sales","销售成本占比","fina_indicator","cogs_of_sales","","",""
"拟新增","收入与利润结构","expense_of_sales","销售期间费用占比","fina_indicator","expense_of_sales","","",""
"拟新增","收入与利润结构","profit_to_gr","净利润/营业总收入","fina_indicator","profit_to_gr","","","官方未进一步明确净利润的归属范围，不擅自改为归母净利润。"
"拟新增","收入与利润结构","saleexp_to_gr","销售费用/营业总收入","fina_indicator","saleexp_to_gr","","",""
"拟新增","收入与利润结构","adminexp_of_gr","管理费用/营业总收入","fina_indicator","adminexp_of_gr","","",""
"拟新增","收入与利润结构","finaexp_of_gr","财务费用/营业总收入","fina_indicator","finaexp_of_gr","","",""
"拟新增","收入与利润结构","impai_ttm","资产减值损失/营业总收入","fina_indicator","impai_ttm","","","列名带 ttm，但当前官方描述没有标明 TTM；不靠列名补充时间口径。"
"拟新增","收入与利润结构","gc_of_gr","营业总成本/营业总收入","fina_indicator","gc_of_gr","","",""
"拟新增","收入与利润结构","op_of_gr","营业利润/营业总收入","fina_indicator","op_of_gr","","",""
"拟新增","收入与利润结构","ebit_of_gr","息税前利润/营业总收入","fina_indicator","ebit_of_gr","","",""
"拟新增","收入与利润结构","opincome_of_ebt","经营活动净收益/利润总额","fina_indicator","opincome_of_ebt","","",""
"拟新增","收入与利润结构","investincome_of_ebt","价值变动净收益/利润总额","fina_indicator","investincome_of_ebt","","","官方分子为价值变动净收益，不能按 investincome 名称直接解释为投资收益。"
"拟新增","收入与利润结构","n_op_profit_of_ebt","营业外收支净额/利润总额","fina_indicator","n_op_profit_of_ebt","","","官方与 nop_to_ebt 的非营业利润分别列示，不自行视为相同数值。"
"拟新增","收入与利润结构","tax_to_ebt","所得税/利润总额","fina_indicator","tax_to_ebt","","",""
"拟新增","收入与利润结构","dtprofit_to_profit","扣非净利润/净利润","fina_indicator","dtprofit_to_profit","","","保留供应商利润口径，不自行限定为归母。"
"拟新增","收入与利润结构","op_to_ebt","营业利润/利润总额","fina_indicator","op_to_ebt","","",""
"拟新增","收入与利润结构","nop_to_ebt","非营业利润/利润总额","fina_indicator","nop_to_ebt","","","不静默并入 n_op_profit_of_ebt 的营业外收支净额比率。"
"拟新增","收入与利润结构","profit_to_op","利润总额/营业收入","fina_indicator","profit_to_op","","","官方分母是营业收入，不是按 op 后缀猜测的营业利润。"
"拟新增","现金流与资本支出比率","salescash_to_or","销售及劳务收现/营业收入","fina_indicator","salescash_to_or","","","分子是销售商品、提供劳务收到的现金，不是经营现金流净额。"
"拟新增","现金流与资本支出比率","ocf_to_or","经营现金净流量/营业收入","fina_indicator","ocf_to_or","","",""
"拟新增","现金流与资本支出比率","ocf_to_opincome","经营现金净流量/经营活动净收益","fina_indicator","ocf_to_opincome","","","分母是经营活动净收益，不是营业收入或营业利润。"
"拟新增","现金流与资本支出比率","capitalized_to_da","资本支出/折旧摊销","fina_indicator","capitalized_to_da","","","官方给定资本支出与折旧摊销之比，不是研发资本化率。"
"拟新增","现金流与资本支出比率","ocf_to_profit","经营现金净流量/营业利润","fina_indicator","ocf_to_profit","","","官方分母为营业利润，不是净利润。"
"拟新增","财务结构与偿债","current_ratio","流动比率","fina_indicator","current_ratio","","",""
"拟新增","财务结构与偿债","quick_ratio","速动比率","fina_indicator","quick_ratio","","",""
"拟新增","财务结构与偿债","cash_ratio","保守速动比率","fina_indicator","cash_ratio","","","官方名称为保守速动比率，不据 cash_ratio 自行替换成其他现金比率公式。"
"拟新增","财务结构与偿债","debt_to_assets","资产负债比率","fina_indicator","debt_to_assets","","",""
"拟新增","财务结构与偿债","assets_to_eqt","权益乘数","fina_indicator","assets_to_eqt","","",""
"拟新增","财务结构与偿债","dp_assets_to_eqt","杜邦权益乘数","fina_indicator","dp_assets_to_eqt","","","保留杜邦分析口径，不直接与 assets_to_eqt 合并。"
"拟新增","财务结构与偿债","ca_to_assets","流动资产占总资产比","fina_indicator","ca_to_assets","","",""
"拟新增","财务结构与偿债","nca_to_assets","非流动资产占总资产比","fina_indicator","nca_to_assets","","",""
"拟新增","财务结构与偿债","tbassets_to_totalassets","有形净资产/总资产（供应商口径）","fina_indicator","tbassets_to_totalassets","","",""
"拟新增","财务结构与偿债","int_to_talcap","有息债务/全部投入资本","fina_indicator","int_to_talcap","","",""
"拟新增","财务结构与偿债","eqt_to_talcapital","归母权益/全部投入资本","fina_indicator","eqt_to_talcapital","","",""
"拟新增","财务结构与偿债","currentdebt_to_debt","流动负债占总负债比","fina_indicator","currentdebt_to_debt","","",""
"拟新增","财务结构与偿债","longdeb_to_debt","非流动负债占总负债比","fina_indicator","longdeb_to_debt","","","官方分子为非流动负债，不是仅长期借款或有息长期债务。"
"拟新增","财务结构与偿债","ocf_to_shortdebt","经营现金净流量/流动负债","fina_indicator","ocf_to_shortdebt","","","官方分母是流动负债，不能由 shortdebt 推断为短期借款。"
"拟新增","财务结构与偿债","debt_to_eqt","产权比率","fina_indicator","debt_to_eqt","","","当前官方简述未展开权益范围，本清单不自行指定为归母权益。"
"拟新增","财务结构与偿债","eqt_to_debt","归母权益/负债合计","fina_indicator","eqt_to_debt","","",""
"拟新增","财务结构与偿债","eqt_to_interestdebt","归母权益/有息债务","fina_indicator","eqt_to_interestdebt","","",""
"拟新增","财务结构与偿债","tangibleasset_to_debt","有形净资产/负债合计（供应商口径）","fina_indicator","tangibleasset_to_debt","","",""
"拟新增","财务结构与偿债","tangasset_to_intdebt","有形净资产/有息债务（供应商口径）","fina_indicator","tangasset_to_intdebt","","",""
"拟新增","财务结构与偿债","tangibleasset_to_netdebt","有形净资产/净债务（供应商口径）","fina_indicator","tangibleasset_to_netdebt","","",""
"拟新增","财务结构与偿债","ocf_to_debt","经营现金净流量/负债合计","fina_indicator","ocf_to_debt","","",""
"拟新增","财务结构与偿债","ocf_to_interestdebt","经营现金净流量/有息债务","fina_indicator","ocf_to_interestdebt","","",""
"拟新增","财务结构与偿债","ocf_to_netdebt","经营现金净流量/净债务","fina_indicator","ocf_to_netdebt","","",""
"拟新增","财务结构与偿债","ebit_to_interest","息税前利润/利息费用","fina_indicator","ebit_to_interest","","",""
"拟新增","财务结构与偿债","longdebt_to_workingcapital","长期债务/营运资金","fina_indicator","longdebt_to_workingcapital","","","保留官方长期债务口径，不自行缩窄为长期借款。"
"拟新增","财务结构与偿债","ebitda_to_debt","息税折旧摊销前利润/负债合计","fina_indicator","ebitda_to_debt","","",""
"拟新增","财务结构与偿债","cash_to_liqdebt","货币资金/流动负债","fina_indicator","cash_to_liqdebt","","",""
"拟新增","财务结构与偿债","cash_to_liqdebt_withinterest","货币资金/有息流动负债","fina_indicator","cash_to_liqdebt_withinterest","","",""
"拟新增","财务结构与偿债","op_to_liqdebt","营业利润/流动负债","fina_indicator","op_to_liqdebt","","",""
"拟新增","财务结构与偿债","op_to_debt","营业利润/负债合计","fina_indicator","op_to_debt","","",""
"拟新增","单季度指标","q_opincome","单季经营活动净收益","fina_indicator","q_opincome","","",""
"拟新增","单季度指标","q_investincome","单季价值变动净收益","fina_indicator","q_investincome","","","官方定义是价值变动净收益，不按列名简化为投资收益。"
"拟新增","单季度指标","q_dtprofit","单季扣非净利润","fina_indicator","q_dtprofit","","","官方简述未明确归母范围；不擅自改成归母扣非。"
"拟新增","单季度指标","q_eps","单季每股收益","fina_indicator","q_eps","","","官方未进一步注明基本、稀释或期末摊薄方式，保留源口径。"
"拟新增","单季度指标","q_net_profit_margin","单季销售净利率","fina_indicator","q_netprofit_margin","","",""
"拟新增","单季度指标","q_gross_profit_margin","单季销售毛利率","fina_indicator","q_gsprofit_margin","","",""
"拟新增","单季度指标","q_exp_to_sales","单季销售期间费用占比","fina_indicator","q_exp_to_sales","","",""
"拟新增","单季度指标","q_profit_to_gr","单季净利润/营业总收入","fina_indicator","q_profit_to_gr","","",""
"拟新增","单季度指标","q_saleexp_to_gr","单季销售费用/营业总收入","fina_indicator","q_saleexp_to_gr","","",""
"拟新增","单季度指标","q_adminexp_to_gr","单季管理费用/营业总收入","fina_indicator","q_adminexp_to_gr","","",""
"拟新增","单季度指标","q_finaexp_to_gr","单季财务费用/营业总收入","fina_indicator","q_finaexp_to_gr","","",""
"拟新增","单季度指标","q_impair_to_gr_ttm","单季资产减值损失/营业总收入","fina_indicator","q_impair_to_gr_ttm","","","官方明确为单季度，不能因列名 ttm 后缀标成 TTM。"
"拟新增","单季度指标","q_gc_to_gr","单季营业总成本/营业总收入","fina_indicator","q_gc_to_gr","","",""
"拟新增","单季度指标","q_op_to_gr","单季营业利润/营业总收入","fina_indicator","q_op_to_gr","","",""
"拟新增","单季度指标","q_roe","单季净资产收益率","fina_indicator","q_roe","","","单季度源指标，不是 TTM，也不自动年化。"
"拟新增","单季度指标","q_dt_roe","单季扣非净资产收益率","fina_indicator","q_dt_roe","","",""
"拟新增","单季度指标","q_npta","单季总资产净利润指标","fina_indicator","q_npta","","","官方简述未展开公式；不自动等同于单季 ROA。"
"拟新增","单季度指标","q_opincome_to_ebt","单季经营活动净收益/利润总额","fina_indicator","q_opincome_to_ebt","","",""
"拟新增","单季度指标","q_investincome_to_ebt","单季价值变动净收益/利润总额","fina_indicator","q_investincome_to_ebt","","","分子按官方价值变动净收益解释，不直接改成投资收益。"
"拟新增","单季度指标","q_dtprofit_to_profit","单季扣非净利润/净利润","fina_indicator","q_dtprofit_to_profit","","",""
"拟新增","单季度指标","q_salescash_to_or","单季销售及劳务收现/营业收入","fina_indicator","q_salescash_to_or","","","分子是销售商品、提供劳务收到的现金，不是经营现金流净额。"
"拟新增","单季度指标","q_ocf_to_sales","单季经营现金净流量/营业收入","fina_indicator","q_ocf_to_sales","","","官方分母为营业收入；不是 q_ocf_to_or 的同义字段。"
"拟新增","单季度指标","q_ocf_to_or","单季经营现金净流量/经营活动净收益","fina_indicator","q_ocf_to_or","","","官方分母为经营活动净收益；与 q_ocf_to_sales 的营业收入分母不同，也不同于非单季 ocf_to_or 的命名对应。"
"拟新增","同比增长","basic_eps_yoy","基本每股收益同比增长率","fina_indicator","basic_eps_yoy","","",""
"拟新增","同比增长","dt_eps_yoy","稀释每股收益同比增长率","fina_indicator","dt_eps_yoy","","",""
"拟新增","同比增长","ocfps_yoy","每股经营现金净流量同比增长率","fina_indicator","cfps_yoy","","","官方说明指每股经营活动现金净流量，不能按前缀认定为 cfps 的一般现金净流量同比。"
"拟新增","同比增长","op_yoy","营业利润同比增长率","fina_indicator","op_yoy","","",""
"拟新增","同比增长","ebt_yoy","利润总额同比增长率","fina_indicator","ebt_yoy","","",""
"拟新增","同比增长","netprofit_yoy","归母净利润同比增长率","fina_indicator","netprofit_yoy","","","官方明确归属于母公司股东，不是未限定归属的净利润。"
"拟新增","同比增长","dt_netprofit_yoy","归母扣非净利润同比增长率","fina_indicator","dt_netprofit_yoy","","","官方明确归母和扣非范围；不能倒推 profit_dedt 的未说明范围也一定相同。"
"拟新增","同比增长","ocf_yoy","经营现金净流量同比增长率","fina_indicator","ocf_yoy","","",""
"拟新增","同比增长","roe_yoy","摊薄净资产收益率同比增长率","fina_indicator","roe_yoy","","","官方为摊薄 ROE 的同比增长率，不是 ROE 的百分点变化，也不证明分子等于 roe。"
"拟新增","同比增长","tr_yoy","营业总收入同比增长率","fina_indicator","tr_yoy","","",""
"拟新增","同比增长","or_yoy","营业收入同比增长率","fina_indicator","or_yoy","","","营业收入与 tr_yoy 的营业总收入范围不同。"
"拟新增","同比增长","equity_yoy","净资产同比增长率","fina_indicator","equity_yoy","","","官方为同比，未进一步说明归母范围；不要与 eqt_yoy 的归母权益较年初增长合并。"
"拟新增","较年初增长","bps_ytd_growth","每股净资产较年初增长率","fina_indicator","bps_yoy","","","虽名为 yoy，官方比较基点是年初，不是上年同期。"
"拟新增","较年初增长","assets_ytd_growth","总资产较年初增长率","fina_indicator","assets_yoy","","","虽名为 yoy，官方比较基点是年初，不是上年同期。"
"拟新增","较年初增长","equity_parent_ytd_growth","归母权益较年初增长率","fina_indicator","eqt_yoy","","","官方说明为归母权益相对年初增长，与 equity_yoy 的净资产同比不同。"
"拟新增","单季度增长","q_gr_yoy","单季营业总收入同比增长率","fina_indicator","q_gr_yoy","","",""
"拟新增","单季度增长","q_gr_qoq","单季营业总收入环比增长率","fina_indicator","q_gr_qoq","","",""
"拟新增","单季度增长","q_sales_yoy","单季营业收入同比增长率","fina_indicator","q_sales_yoy","","","与 q_gr_yoy 的营业总收入范围分开。"
"拟新增","单季度增长","q_sales_qoq","单季营业收入环比增长率","fina_indicator","q_sales_qoq","","","与 q_gr_qoq 的营业总收入范围分开。"
"拟新增","单季度增长","q_op_yoy","单季营业利润同比增长率","fina_indicator","q_op_yoy","","",""
"拟新增","单季度增长","q_op_qoq","单季营业利润环比增长率","fina_indicator","q_op_qoq","","",""
"拟新增","单季度增长","q_profit_yoy","单季净利润同比增长率","fina_indicator","q_profit_yoy","","","官方未进一步注明归属范围；与明确归母的 q_netprofit_yoy 分开。"
"拟新增","单季度增长","q_profit_qoq","单季净利润环比增长率","fina_indicator","q_profit_qoq","","","官方未进一步注明归属范围；与明确归母的 q_netprofit_qoq 分开。"
"拟新增","单季度增长","q_netprofit_yoy","单季归母净利润同比增长率","fina_indicator","q_netprofit_yoy","","",""
"拟新增","单季度增长","q_netprofit_qoq","单季归母净利润环比增长率","fina_indicator","q_netprofit_qoq","","",""
"拟新增","三表扩展：报告期存量","monetary_funds","货币资金","balancesheet","money_cap","latest_visible_quarterly_or_annual","financial.balance_sheet.monetary_funds.latest_reported","最新可见报告期的期末存量；不自动等于无限制可用现金。"
"拟新增","三表扩展：报告期存量","accounts_receivable","应收账款","balancesheet","accounts_receiv","latest_visible_quarterly_or_annual","financial.balance_sheet.accounts_receivable.latest_reported","最新可见报告期的期末存量；不同于应收票据及应收账款合计。"
"拟新增","三表扩展：报告期存量","notes_receivable","应收票据","balancesheet","notes_receiv","latest_visible_quarterly_or_annual","financial.balance_sheet.notes_receivable.latest_reported","最新可见报告期的期末存量；不以应收融资等相近科目替代。"
"拟新增","三表扩展：报告期存量","other_receivables","其他应收款","balancesheet","oth_receiv","latest_visible_quarterly_or_annual","financial.balance_sheet.other_receivables.latest_reported","最新可见报告期的期末存量；不同于其他应收款合计列。"
"拟新增","三表扩展：报告期存量","prepayments","预付款项","balancesheet","prepayment","latest_visible_quarterly_or_annual","financial.balance_sheet.prepayments.latest_reported","最新可见报告期的期末存量；报告期余额，不是当期采购现金。"
"拟新增","三表扩展：报告期存量","inventories","存货","balancesheet","inventories","latest_visible_quarterly_or_annual","financial.balance_sheet.inventories.latest_reported","最新可见报告期的期末存量；行业适用性与源非空覆盖需分别核验。"
"拟新增","三表扩展：报告期存量","accounts_payable","应付账款","balancesheet","acct_payable","latest_visible_quarterly_or_annual","financial.balance_sheet.accounts_payable.latest_reported","最新可见报告期的期末存量；不同于应付票据及应付账款合计。"
"拟新增","三表扩展：报告期存量","contract_assets","合同资产","balancesheet","contract_assets","latest_visible_quarterly_or_annual","financial.balance_sheet.contract_assets.latest_reported","最新可见报告期的期末存量；不自动并入应收账款；科目出现前缺失不填零。"
"拟新增","三表扩展：报告期存量","contract_liabilities","合同负债","balancesheet","contract_liab","latest_visible_quarterly_or_annual","financial.balance_sheet.contract_liabilities.latest_reported","最新可见报告期的收入合同负债；不是订单总额或必然实现的收入。不适用于保险公司，来源列可能表示保险合同负债。"
"拟新增","三表扩展：报告期存量","goodwill","商誉","balancesheet","goodwill","latest_visible_quarterly_or_annual","financial.balance_sheet.goodwill.latest_reported","最新可见报告期的期末存量；余额不同于当期减值损失。"
"拟新增","三表扩展：报告期存量","short_term_borrowings","短期借款","balancesheet","st_borr","latest_visible_quarterly_or_annual","financial.balance_sheet.short_term_borrowings.latest_reported","最新可见报告期的期末存量；不是全部短期到期债务。"
"拟新增","三表扩展：报告期存量","long_term_borrowings","长期借款","balancesheet","lt_borr","latest_visible_quarterly_or_annual","financial.balance_sheet.long_term_borrowings.latest_reported","最新可见报告期的期末存量；不是全部非流动负债。"
"拟新增","三表扩展：报告期存量","bonds_payable","应付债券","balancesheet","bond_payable","latest_visible_quarterly_or_annual","financial.balance_sheet.bonds_payable.latest_reported","最新可见报告期的期末存量；报告期余额，不含逐笔到期日。"
"拟新增","三表扩展：报告期存量","noncurrent_liabilities_due_1y","一年内到期的非流动负债","balancesheet","non_cur_liab_due_1y","latest_visible_quarterly_or_annual","financial.balance_sheet.noncurrent_liabilities_due_1y.latest_reported","最新可见报告期的期末存量；不能全部当作有息借款。"
"拟新增","三表扩展：报告期存量","other_equity_instruments","其他权益工具","balancesheet","oth_eqt_tools","latest_visible_quarterly_or_annual","financial.balance_sheet.other_equity_instruments.latest_reported","最新可见报告期的期末存量；不同于其他权益工具投资，且不只包含优先股。"
"拟新增","三表扩展：报告期存量","cash_equivalents","期末现金及现金等价物","cashflow","c_cash_equ_end_period","latest_visible_quarterly_or_annual","financial.cashflow.cash_equivalents.latest_reported","最新可见报告期的期末存量；现金流量表中的期末存量，仍选最新季报或年报。"
"拟新增","三表扩展：TTM 流量","cash_paid_capex_ttm","购建长期资产付现","cashflow","c_pay_acq_const_fiolta","latest_visible_ttm","financial.cashflow.cash_paid_capex.ttm","截至最新可见报告期的最近十二个月流量；含固定、无形及其他长期资产；经营现金流减它不直接称 FCFF/FCFE。"
